schema_version,analysis_class,split_order,split_name,method_order,method,label_order,ec_level_2,sequence_count_display,sequence_count,component_count_display,component_count,class_precision,class_recall,class_f1,class_f1_ci_lower,class_f1_ci_upper,dominant_wrong_label,dominant_wrong_count,random_minus_cluster30_class_f1,gap_ci_lower,gap_ci_upper,reporting_status
1,confirmatory,2,cluster50,4,nearest-homolog,0,2.7,29,29,28,28,0.547169811320755,1,0.707317073170732,0.575,0.819277108433735,NA,0,NA,NA,NA,reportable
1,confirmatory,2,cluster50,4,nearest-homolog,1,3.1,13,13,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,4,nearest-homolog,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,4,nearest-homolog,3,2.1,8,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,4,nearest-homolog,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,5,esm2-35m,0,2.7,29,29,28,28,0.823529411764706,0.96551724137931,0.888888888888889,0.77773631840796,0.972972972972973,3.1,1,NA,NA,NA,reportable
1,confirmatory,2,cluster50,5,esm2-35m,1,3.1,13,13,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,5,esm2-35m,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,5,esm2-35m,3,2.1,8,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,5,esm2-35m,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,6,esm2-150m,0,2.7,29,29,28,28,0.870967741935484,0.931034482758621,0.9,0.794105975723623,0.978723404255319,3.1,1,NA,NA,NA,reportable
1,confirmatory,2,cluster50,6,esm2-150m,1,3.1,13,13,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,6,esm2-150m,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,6,esm2-150m,3,2.1,8,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,2,cluster50,6,esm2-150m,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,0,majority,0,2.7,29,29,26,26,0.439393939393939,1,0.610526315789474,0.470551924473493,0.727272727272727,NA,0,0,-0.163519364592365,0.176964755407341,reportable
1,confirmatory,3,cluster30,0,majority,1,3.1,13,13,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,0,majority,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,0,majority,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,0,majority,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,1,length-logistic,0,2.7,29,29,26,26,0.571428571428571,0.137931034482759,0.222222222222222,0,0.436392045454545,4.1,11,0,-0.277878392736405,0.272529421589153,reportable
1,confirmatory,3,cluster30,1,length-logistic,1,3.1,13,13,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,1,length-logistic,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,1,length-logistic,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,1,length-logistic,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,2,aac-logistic,0,2.7,29,29,26,26,0.7,0.482758620689655,0.571428571428571,0.378378378378378,0.736842105263158,1.1,6,-0.122448979591837,-0.358981132075472,0.128853065539112,reportable
1,confirmatory,3,cluster30,2,aac-logistic,1,3.1,13,13,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,2,aac-logistic,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,2,aac-logistic,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,2,aac-logistic,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,3,kmer3-logistic,0,2.7,29,29,26,26,0.733333333333333,0.758620689655172,0.745762711864407,0.60377358490566,0.861551724137931,1.1,4,-0.067796610169491,-0.274967557875036,0.126052517195626,reportable
1,confirmatory,3,cluster30,3,kmer3-logistic,1,3.1,13,13,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,3,kmer3-logistic,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,3,kmer3-logistic,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,3,kmer3-logistic,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,4,nearest-homolog,0,2.7,29,29,26,26,0.483333333333333,1,0.651685393258427,0.517627230667548,0.762886597938144,NA,0,0.022733211392736,-0.152114227086183,0.195836978778853,reportable
1,confirmatory,3,cluster30,4,nearest-homolog,1,3.1,13,13,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,4,nearest-homolog,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,4,nearest-homolog,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,4,nearest-homolog,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,5,esm2-35m,0,2.7,29,29,26,26,0.78125,0.862068965517241,0.819672131147541,0.682853658536585,0.920634920634921,3.1,3,0.061683801055849,-0.082449043622469,0.212132389468455,reportable
1,confirmatory,3,cluster30,5,esm2-35m,1,3.1,13,13,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,5,esm2-35m,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,5,esm2-35m,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,5,esm2-35m,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,6,esm2-150m,0,2.7,29,29,26,26,0.928571428571429,0.896551724137931,0.912280701754386,0.818181818181818,0.981818181818182,3.1,2,-0.045614035087719,-0.17731847560766,0.079976983662027,reportable
1,confirmatory,3,cluster30,6,esm2-150m,1,3.1,13,13,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,6,esm2-150m,2,1.1,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,6,esm2-150m,3,2.1,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
1,confirmatory,3,cluster30,6,esm2-150m,4,4.1,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_sequences
