schema_version,analysis_class,diagnostic_order,diagnostic,split_order,split_name,method_a,method_b,metric_order,metric,accuracy_difference,balanced_accuracy_difference,macro_f1_difference,signs_agree,direction,primary_seed,diagnostic_seed,maximum_lower_shift,maximum_upper_shift,maximum_width_shift,reporting_status
1,confirmatory,65,bootstrap_seed_method_difference,1,cluster70,esm2-150m,esm2-35m,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.014492753623188,0.005051664753157,0.009441088870031,reportable
1,confirmatory,66,bootstrap_seed_method_difference,1,cluster70,esm2-150m,esm2-35m,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.000650232160313,0.002618068868069,0.003268301028382,reportable
1,confirmatory,67,bootstrap_seed_method_difference,1,cluster70,esm2-150m,esm2-35m,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.001524719527592,0.002532738974007,0.00234861606319,reportable
1,confirmatory,68,class_balance_method_difference,2,cluster50,esm2-35m,aac-logistic,NA,NA,0.5,0.463545745442297,0.510924514228644,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,69,bootstrap_seed_method_difference,2,cluster50,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.005394470336067,0,0.005394470336067,reportable
1,confirmatory,70,bootstrap_seed_method_difference,2,cluster50,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.009902999886823,0.002612962269212,0.007290037617611,reportable
1,confirmatory,71,bootstrap_seed_method_difference,2,cluster50,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.01514559714254,0.00214415743528,0.013001439707261,reportable
1,confirmatory,72,class_balance_method_difference,2,cluster50,esm2-35m,kmer3-logistic,NA,NA,0.393939393939394,0.440734074354764,0.470733125924942,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,73,bootstrap_seed_method_difference,2,cluster50,esm2-35m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.008482142857143,0.007006483420004,0.002510590301694,reportable
1,confirmatory,74,bootstrap_seed_method_difference,2,cluster50,esm2-35m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.005970414819099,0.003403585997336,0.007685504079254,reportable
1,confirmatory,75,bootstrap_seed_method_difference,2,cluster50,esm2-35m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.00614084269914,0.004665046280173,0.010805888979312,reportable
1,confirmatory,76,class_balance_method_difference,2,cluster50,esm2-150m,aac-logistic,NA,NA,0.5,0.46241842448739,0.49482461459193,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,77,bootstrap_seed_method_difference,2,cluster50,esm2-150m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.001449875724938,0.005594405594406,0.005317187959254,reportable
1,confirmatory,78,bootstrap_seed_method_difference,2,cluster50,esm2-150m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.001481485780586,0.007183175620675,0.006338960534613,reportable
1,confirmatory,79,bootstrap_seed_method_difference,2,cluster50,esm2-150m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.00058977026534,0.014319994046427,0.014015393290341,reportable
1,confirmatory,80,class_balance_method_difference,2,cluster50,esm2-150m,kmer3-logistic,NA,NA,0.393939393939394,0.439606753399857,0.454633226288227,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,81,bootstrap_seed_method_difference,2,cluster50,esm2-150m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.004064407814408,0.00094696969697,0.003117438117438,reportable
1,confirmatory,82,bootstrap_seed_method_difference,2,cluster50,esm2-150m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.003801176792556,0.007391451891331,0.007378523761207,reportable
