schema_version,analysis_class,split_order,split_name,method_order,method,metric_order,metric,removal_order,removal_count,removed_sequence_count,remaining_sequence_count_display,remaining_sequence_count,remaining_component_count_display,remaining_component_count,estimate,ci_lower,ci_upper,reporting_status
1,confirmatory,2,cluster50,0,majority,2,macro_f1,0,0,0,66,66,59,59,0.122105263157895,0.095652173913043,0.144761904761905,reportable
1,confirmatory,2,cluster50,0,majority,2,macro_f1,1,1,2,64,64,58,58,0.124731182795699,0.098799749687109,0.147579147319544,reportable
1,confirmatory,2,cluster50,0,majority,2,macro_f1,2,3,6,60,60,56,56,0.124137931034483,0.097435897435897,0.146666666666667,reportable
1,confirmatory,2,cluster50,0,majority,2,macro_f1,3,5,10,56,56,54,54,0.130120481927711,0.102564102564103,0.152808988764045,reportable
1,confirmatory,2,cluster50,1,length-logistic,0,accuracy,0,0,0,66,66,59,59,0.181818181818182,0.078125,0.294117647058824,reportable
1,confirmatory,2,cluster50,1,length-logistic,0,accuracy,1,1,2,64,64,58,58,0.1875,0.081967213114754,0.301375298978039,reportable
1,confirmatory,2,cluster50,1,length-logistic,0,accuracy,2,3,6,60,60,56,56,0.166666666666667,0.068936294564582,0.271261618370694,reportable
1,confirmatory,2,cluster50,1,length-logistic,0,accuracy,3,5,10,56,56,54,54,0.142857142857143,0.053571428571429,0.240740740740741,reportable
1,confirmatory,2,cluster50,1,length-logistic,1,balanced_accuracy,0,0,0,66,66,59,59,0.232169171824344,0.123527950310559,0.346666666666667,reportable
1,confirmatory,2,cluster50,1,length-logistic,1,balanced_accuracy,1,1,2,64,64,58,58,0.240560780215953,0.12591514041514,0.358466666666667,reportable
1,confirmatory,2,cluster50,1,length-logistic,1,balanced_accuracy,2,3,6,60,60,56,56,0.238888888888889,0.127765151515152,0.355555555555556,reportable
1,confirmatory,2,cluster50,1,length-logistic,1,balanced_accuracy,3,5,10,56,56,54,54,0.200793650793651,0.1,0.307636904761905,reportable
